Accession,Gene ID,Description,Taxonomy,Protein FDR Confidence: Combined,Missing values,Log10(S/N),# Unique Peptides,Resting_1,Resting_2,Activated_1,Activated_2,24h_Mock,24h_Pos,24h_Neg,48h_Mock,48h_Pos,48h_Neg
NL433,Gag,Gag polyprotein ,HIV-AFMACS,High,0,3.9882244123902,6,23.4,20,19.6,32,67.3,3244.8,497.7,143.1,4703.4,981.2
NL435,Gagpol,Gagpol polyprotein ,HIV-AFMACS,High,0,4.72346962834438,31,947,955.9,959.5,957.7,1125.6,16177,3198.3,1495.8,22459.1,4625.8
NL431,Nef-P2A,Protein Nef-P2A ,HIV-AFMACS,High,0,4.46034748802795,13,209.6,222,283.8,249.8,435.2,13088.9,1079.6,654.8,11057.4,1582.3
NL434,Rev,Protein Rev ,HIV-AFMACS,High,0,3.3063392325125,6,33.2,55.9,57.7,115.3,95.3,899.5,107.2,85.5,473.5,101.5
NL432,SBP-dLNGFR,mSP-SBP-dLNGFR ,HIV-AFMACS,High,0,3.82426254679076,7,149.9,132.9,155,130.2,189,3427.9,373.3,197,1578,338.9
NL436,Tat,Protein Tat ,HIV-AFMACS,High,0,3.13302767289988,2,49.7,43.9,55.3,50.2,56.7,655.1,80.9,57.6,228.3,80.7
NL439,Vif,Virion infectivity factor ,HIV-AFMACS,High,6,2.28555730900777,1,NaN,NaN,NaN,NaN,NaN,112.6,NaN,0.8,77.6,2
P01737,1SV=1,T-cell receptor alpha chain V region PY14 ,Homo sapiens ,High,0,3.10516942799933,2,252.6,222.8,117.3,106.6,107.4,88.8,93.3,98.8,85.5,100.9
B2RBV5,1SV=1,Putative MORF4 family-associated protein 1-like protein UPP ,Homo sapiens ,High,0,2.93791890264778,2,118.6,143.6,66,70,79.3,76.8,73.3,64.9,105.7,68.6
P04436,2SV=1,T-cell receptor alpha chain V region HPB-MLT (Fragment) ,Homo sapiens ,High,0,2.65934563574618,2,83.3,95.7,51.7,39.5,33.5,38.1,30.2,25.9,28,30.5
Q6ZSR9,2SV=2,Uncharacterized protein FLJ45252 ,Homo sapiens ,High,0,4.03001649356672,12,1751.2,2284.9,739.6,888.3,696.6,897.7,698.6,937,1062,759.7
Q96IC2,44M2.3,Putative RNA exonuclease NEF-sp ,Homo sapiens ,High,0,2.5641924606262,5,20.3,16,33.7,37.2,27.7,40.3,34.7,30.3,65.1,61.3
I3L1I5,5SV=1,Putative uncharacterized protein LOC100996504 ,Homo sapiens ,High,0,3.45660892714091,5,744.3,865.8,190.1,218.9,140,130.2,167.5,127.5,142.8,134.5
P01023,A2M,Alpha-2-macroglobulin ,Homo sapiens ,High,0,3.50323213991151,4,310.7,279.1,408.9,405.1,215.5,330.4,266.9,212.2,305.1,452
Q9NRG9,AAAS,Aladin ,Homo sapiens ,High,0,4.26383009688755,14,1132.2,974.6,2054.4,1993.1,2085.5,2440.4,1919.1,1645.8,1910.4,2202.7
Q86V21,AACS,Acetoacetyl-CoA synthetase ,Homo sapiens ,High,0,3.93412964937901,11,545.4,647.6,521.5,549,726.8,872.7,826.4,1272.3,1562,1069
Q6PD74,AAGAB,Alpha- and gamma-adaptin-binding protein p34 ,Homo sapiens ,High,0,3.80654625544972,7,344.6,300.5,687.6,688.5,853,641.6,782.7,864.2,504,738.7
Q2M2I8,AAK1,AP2-associated protein kinase 1 ,Homo sapiens ,High,0,4.56149493379483,26,6359.9,6636.2,2792.9,2744.7,2570,2633.9,2964.8,3129.8,3555.9,3044.9
A0A096LP25,AAK1,AP2-associated protein kinase 1 (Fragment) ,Homo sapiens ,Medium,0,4.0105416353338,5,1904.7,2030.3,697.5,706.1,663.4,693.5,837.5,844,1026.7,842
Q9H7C9,AAMDC,Mth938 domain-containing protein ,Homo sapiens ,High,0,3.27044590801796,4,354.3,271.3,100.3,98.8,137.2,131.6,158.9,164.4,243.5,203.7
Q13685,AAMP,Angio-associated migratory cell protein ,Homo sapiens ,High,0,4.2773157658793,11,1180.5,1108.1,2496.4,2418.3,2589.3,1973.2,2140.3,2055.1,1353.5,1622.5
Q9Y312,AAR2,Protein AAR2 homolog ,Homo sapiens ,High,0,4.26709190478448,16,1188.9,1090.1,2233.8,2141.4,2333,2029.9,1959.2,1749,1723.9,2047.4
P49588,AARS,"Alanine--tRNA ligase, cytoplasmic ",Homo sapiens ,High,0,5.12030076620938,52,8549,8324.2,12978.7,12714,14101.7,11828,16316.5,16889.6,14643.9,15571.4
Q5JTZ9,AARS2,"Alanine--tRNA ligase, mitochondrial ",Homo sapiens ,High,0,4.43495353134813,30,2590.8,2539,2709,2750.3,2484.2,3064.7,2727.4,2537.5,2947.3,2873.9
Q9BTE6,AARSD1,Alanyl-tRNA editing protein Aarsd1 ,Homo sapiens ,High,0,4.25655178780931,15,1050.5,979.7,2349.3,2341.6,2133.7,1651.2,2134.7,1970.1,1720.9,1721.4
Q4L235,AASDH,Acyl-CoA synthetase family member 4 ,Homo sapiens ,High,0,3.24402958903002,4,151.6,145.7,144.7,169.2,186.3,171.6,219.5,181.9,197.6,185.9
Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase ,Homo sapiens ,High,0,4.38562235828126,14,1795.5,1574.7,2608.3,2323.8,3119.5,2314.2,2999.5,2682.2,2167.4,2715.8
Q9UDR5,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial ",Homo sapiens ,High,0,4.03659696077029,12,1734.5,1686,831.6,907.9,701.9,1018.2,850.3,830,1336.3,982.5
Q9NY61,AATF,Protein AATF ,Homo sapiens ,High,0,4.42990885610375,20,1441.5,1245.4,3198.7,3190.2,2751.4,3720.6,3083.1,2328.3,3179.6,2770.9
P80404,ABAT,"4-aminobutyrate aminotransferase, mitochondrial ",Homo sapiens ,High,0,4.09464578960596,14,1475.5,1337.4,1202.7,1135.2,1204.9,1285.1,1199.1,1012.4,1334.3,1248.4
P08183,ABCB1,Multidrug resistance protein 1 ,Homo sapiens ,High,0,3.68830411338787,6,644.5,525.2,466.5,399.8,452.9,470.3,484.5,403.2,539.2,492.6
Q9NRK6,ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial ",Homo sapiens ,High,0,4.24753629848361,14,826.4,733.9,1531.9,1508.4,1861.2,2472.8,2029.6,2218.8,2386.7,2112.5
P21439,ABCB4,Phosphatidylcholine translocator ABCB4 ,Homo sapiens ,High,0,2.71566914240099,1,31.1,58.6,31.4,50.5,33.5,62.7,46.8,83.2,68,53.8
Q9NP58,ABCB6,"ATP-binding cassette sub-family B member 6, mitochondrial ",Homo sapiens ,High,0,3.58204062438546,10,218.2,223.2,401.7,381.2,419.3,541.1,458.8,459.3,398.6,318.4
O75027,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial ",Homo sapiens ,High,0,4.4823446795778,21,2508.4,2113,2940.1,2744.3,2743.5,3388.3,3294.7,2996.2,3740.7,3893.8
Q9NUT2,ABCB8,"ATP-binding cassette sub-family B member 8, mitochondrial ",Homo sapiens ,High,0,4.01823017438872,13,825.2,785.9,1023.6,995.4,936.7,1345.7,1137.4,951,1341.3,1086.5
P33527,ABCC1,Multidrug resistance-associated protein 1 ,Homo sapiens ,High,0,4.61139719927898,39,3264.9,3024.8,3985.6,4071.1,4446.9,4621.6,4098.8,4738.1,4145,4472.5
O15439,ABCC4,Multidrug resistance-associated protein 4 ,Homo sapiens ,High,0,4.15713629351818,17,944.7,1021.3,1573.1,1633.6,1533.9,1720,1535.8,1646.1,1357.6,1393.3
O15440,ABCC5,Multidrug resistance-associated protein 5 ,Homo sapiens ,High,0,3.40652314894385,4,164,149.7,261.3,255.8,272.5,294.7,287.1,328.7,279.2,256.9
